   -1 inaro.wallpaper call            surfaceflinger
    2 122.070         196.50704       binder_thread_write
    3 122.070         196.50704       binder_transaction
    4 0.000           196.50714       binder_update_page_range
    4 0.000           196.50714       binder_insert_free_buffer
    4 0.000           196.50714       binder_inc_node
    2 0.000           196.50717       binder_thread_read
    1 38269.04        196.50717       binder_ioctl
    2 0.000           196.50717       binder_get_thread
    2 0.000           196.50720       binder_set_nice
    2 122.070         196.50720       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 122.070         196.50704       binder_ioctl
    1 0.000           196.50704       binder_get_thread
    1 122.070         196.50704       binder_thread_write
    2 122.070         196.50704       binder_transaction
    3 0.000           196.50714       binder_update_page_range
    3 0.000           196.50714       binder_insert_free_buffer
    3 0.000           196.50714       binder_inc_node
    1 0.000           196.50717       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 91.552          196.50723       binder_ioctl
    1 0.000           196.50723       binder_get_thread
    1 91.552          196.50723       binder_thread_write
    2 30.517          196.50729       binder_transaction
    3 0.000           196.50729       binder_set_nice
    3 0.000           196.50729       binder_update_page_range
    3 0.000           196.50729       binder_insert_free_buffer
    3 30.517          196.50732       binder_pop_transaction
    1 0.000           196.50732       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 152.588         196.50735       binder_ioctl
    1 0.000           196.50735       binder_get_thread
    1 30.517          196.50735       binder_thread_write
    2 0.000           196.50735       binder_transaction_buffer_release
    3 0.000           196.50735       binder_dec_node
    2 30.517          196.50735       binder_free_buf
    3 0.000           196.50735       binder_update_page_range
    3 0.000           196.50738       binder_delete_free_buffer
    3 0.000           196.50738       binder_insert_free_buffer
    1 35858.15        196.50738       binder_thread_read
    2 0.000           196.50738       binder_set_nice
    2 39215.08        196.51199       binder_ioctl
    3 0.000           196.51202       binder_get_thread
    3 61.035          196.51202       binder_thread_write
    4 0.000           196.51202       binder_transaction_buffer_release
    4 30.518          196.51202       binder_free_buf
    5 0.000           196.51202       binder_update_page_range
    5 0.000           196.51202       binder_delete_free_buffer
    5 0.000           196.51205       binder_insert_free_buffer
    4 30.517          196.51205       binder_transaction
    5 0.000           196.51205       binder_update_page_range
    5 0.000           196.51205       binder_insert_free_buffer
    5 0.000           196.51205       binder_inc_node
    3 39184.57        196.51208       binder_thread_read
    4 0.000           196.51214       binder_set_nice
    2 61.035          196.51223       binder_ioctl
    3 0.000           196.51223       binder_get_thread
    3 61.035          196.51223       binder_thread_write
    4 61.035          196.51223       binder_transaction
    5 0.000           196.51223       binder_set_nice
    5 0.000           196.51226       binder_update_page_range
    5 0.000           196.51226       binder_insert_free_buffer
    5 0.000           196.51226       binder_pop_transaction
